hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
0,999459.4219601566,3189.4890855840895,1002648.9110457407,1494.2779869598796,2343557.1734566567,2399.7108512594446,D56_mu0
1,758960.1548381553,2294.995769931446,761255.1506080867,1065.0993951667235,1762855.7889430318,569.8010930090475,D56_mu0
2,636252.5030203849,661.5525348641731,636914.0555552491,305.9686667196004,1468445.9753315484,1764.2734764754553,D56_mu0
3,570433.4409189562,101.40726173418788,570534.8481806904,46.49871870300953,1306744.6179615066,10514.459195707012,D56_mu0
4,577624.819026712,170.3924446130431,577795.211471325,77.55841967014112,1314579.1301705292,21670.67935884558,D56_mu0
5,624368.6242310454,7.461179999999938,624376.0854110454,1.6399999999999864,1424025.0266565655,137867.13076995887,D56_mu0
6,274399.75782326993,18169.637125177025,292569.39494844695,4231.908075455989,320245.40882516647,0.0,D56_mu0
7,374317.46649835043,17721.35472669991,392038.8212250503,4301.917412436591,486984.8294677628,9637.604677144845,D56_mu0
8,6290.240976065566,33657.44269560717,39947.683671672734,6311.058477346843,5540.024341081758,0.0,D56_mu0
9,28774.743160120343,76163.90936185997,104938.65252198032,15555.614954633747,30100.856145479447,0.0,D56_mu0
10,76566.53083416207,43528.37629817933,120094.90713234141,9138.386311728573,133365.0626876782,5620.427403948093,D56_mu0
11,380395.33517816255,695.004131633933,381090.3393097965,287.40865819774046,807184.2206875604,78755.12655781624,D56_mu0
12,322459.48103256465,0.0,322459.48103256465,0.0,701841.6556067253,269114.0101818293,D56_mu0
13,52952.7065951299,0.0,52952.7065951299,0.0,61153.361521721585,21895.86094833154,D56_mu0
14,110215.51881764022,0.0,110215.51881764022,0.0,164401.89112872825,20485.936864399326,D56_mu0
15,649725.4522929146,375.6434861326107,650101.0957790472,93.26964273931985,881443.9170837448,211957.30572305908,D56_mu0
16,1037204.2721375609,3882.975865048091,1041087.2480026089,879.635225707076,1167749.313091065,82320.61039509115,D56_mu0
17,1530168.6932421168,1134.3482595722369,1531303.041501689,225.59956699695078,1496739.651016004,66147.9725864734,D56_mu0
18,1259080.9152815184,8704.608898384095,1267785.5241799024,1303.9023132207055,999282.5812915293,27316.657731660365,D56_mu0
19,119768.40028783969,118226.03026739505,237994.43055523472,17541.066784338454,88837.22261159685,0.0,D56_mu0
20,615396.905397723,451795.1812074791,1067192.0866052022,67643.38070961031,550161.4908510256,0.0,D56_mu0
21,1170904.9192668025,77620.20509711813,1248525.1243639207,17892.12778516366,1393728.5735321937,0.0,D56_mu0
22,491854.4769623443,21648.702256294055,513503.17921863834,10282.093239060301,1176989.024587213,0.0,D56_mu0
23,484548.7536022796,40291.597558694135,524840.3511609738,18935.957551627464,1140438.0841426097,0.0,D56_mu0
