policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
fixed_w28,2025-04-01,6,108,30563.61618487077,30563.616184870767,3.637978807091713e-12,9.094947017729282e-13,0.004944959000567906,True
fixed_w28,2025-04-01,12,72,25842.12031550241,25842.120315502416,-7.275957614183426e-12,4.547473508864641e-13,0.00333229099487653,True
fixed_w28,2025-04-01,18,36,15195.848299138042,15195.84829913804,1.8189894035458565e-12,4.547473508864641e-13,0.0019359579964657314,True
fixed_w28,2025-06-21,0,144,19539.12191158662,19539.121911586622,-3.637978807091713e-12,9.094947017729282e-13,0.004510917002335191,True
fixed_w28,2025-06-21,6,108,15761.752500907483,15761.752500907483,0.0,1.8189894035458565e-12,0.004162959005043376,True
fixed_w28,2025-06-21,12,72,16179.999415330836,16179.999415330834,1.8189894035458565e-12,9.094947017729282e-13,0.0032887920024222694,True
fixed_w28,2025-06-21,18,36,13077.610451342534,13077.610451342533,1.8189894035458565e-12,9.094947017729282e-13,0.0018608750033308752,True
fixed_w28,2025-09-23,0,144,40893.264744127446,40893.26474412744,7.275957614183426e-12,4.547473508864641e-13,0.005023833000450395,True
fixed_w28,2025-09-23,6,108,29119.766586808946,29119.766586808946,0.0,2.2737367544323206e-13,0.004927249996399041,True
fixed_w28,2025-09-23,12,72,27474.93785864859,27474.937858648587,3.637978807091713e-12,1.7053025658242404e-13,0.0033882089992403053,True
fixed_w28,2025-09-23,18,36,17718.89339555854,17718.89339555854,0.0,1.7053025658242404e-13,0.0020588749976013787,True
fixed_w28,2025-12-21,0,144,59891.05895079515,59891.05895079515,0.0,9.094947017729282e-13,0.004501791001530364,True
fixed_w28,2025-12-21,6,108,45949.59854022986,45949.59854022985,1.4551915228366852e-11,9.094947017729282e-13,0.004675542004406452,True
fixed_w28,2025-12-21,12,72,35686.9568163341,35686.9568163341,0.0,9.094947017729282e-13,0.0033333339961245656,True
fixed_w28,2025-12-21,18,36,14502.716177238586,14502.71617723859,-3.637978807091713e-12,9.094947017729282e-13,0.0019105410028714687,True
